"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2026/04/25","ヤマシタ アツシ","29999","琉球銀行","収入","振替","","0","pbMYsBBRES91-SfHX4t7ciCt3wz1g0Z7Nb-lVT_giIU"
"1","2026/04/25","出金 JCBDEBIT341371","-2250","沖縄銀行","食費","外食","","0","bwcLKt9_x06_oOOfQ6tmaB41weXlZlng_IvmBqoC1VU"
"1","2026/04/25","出金 JCBDEBIT195847","-527","沖縄銀行","食費","食費","","0","x38KtDvhjuH0GitH_MzDfOYPhIR-iY-nreAObbzb2Mg"
"1","2026/04/25","出金 ソウキン ヤマシタ アズサ","-10003","沖縄銀行","住宅","家賃・地代","","0","_28Q4AW2EKD01JDmorsQhgiTzje-jc6PfqezdNb7iWc"
"1","2026/04/25","出金 ソウキン ヤマシタ アズサ","-29999","沖縄銀行","住宅","家賃・地代","","0","PPiZR14V37Kqfe4DJsd-fZb3xCxCpgdwkA8sunDZ0Jk"
"1","2026/04/25","出金 ソウキン ヤマシタ アズサ","-29999","沖縄銀行","住宅","家賃・地代","","0","S1BAYiMtDY5zjsHeunmWg3r9c4fjZmv8I_KU_ATE3Fc"
"1","2026/04/25","出金 ソウキン ヤマシタ アズサ","-29999","沖縄銀行","住宅","家賃・地代","","0","ircRKIdh0H6e7tZzr2BLRe69wq1mtny93K6OSoYahME"
"1","2026/04/25","出金 ソウキン ヤマシタ アツシ","-30269","沖縄銀行","住宅","管理費・積立金","","0","bKZbzup1MykxEMXCJCMz9nIGKRn4wQnMqPPwIowWRQ8"
"1","2026/04/25","出金 JCBDEBIT783539","-589","沖縄銀行","食費","食費","","0","X2tloOVTGoSR1x7B9DQzwuPndqt6JzyJH-kFJptgqYM"
"1","2026/04/25","使っていないゴルフクラブをまとめて買取","1000","財布","収入","一時所得","","0","g0BdGOnRWwZIsKtpC8q68yCX3IOU8zrsukum9sDQ0JE"
"1","2026/04/25","大阪王将西原シティ店","-2250","財布","食費","外食","","0","Uw-yEcppya2Q7z2hU15LpsGMhCA3mn0nUUmVMr4o4r8"
"1","2026/04/25","サンエー 西原シティ","-527","財布","食費","食料品","","0","JmUQSSTR1qGxTtTTyY1WTXVc43T06y5obOVpAJiioyM"
"1","2026/04/25","サンエー銘苅店","-589","財布","食費","食費","","0","psGGGC7OZw9icr-TQkUDa5Cfy9WJrIDHIGECYa_0fb4"
"0","2026/04/24","出金 ENET081498-227","8000","財布","未分類","未分類","","1","Jhj0m6sww06NgFibm-xKrYqAO2iYzw3J9TwMQaqt6gc"
